Number,Name,x,y
1,C1,123.977,-160.299
2,C2,-82.1539,119.779
3,C3,70.3327,-47.8671
4,C4,-133.612,-56.1047
5,C5,1.4901,5.56624
6,C6,-31.5904,200.263
7,C7,33.1794,133.36
8,C8,9.03953,-51.5411
9,C9,111.857,67.0142
10,C10,-183.283,56.3277
11,C11,-136.593,49.4257
12,C12,161.229,141.709
13,C13,-1.39055,-105.753
14,C14,45.2989,-82.5991
15,C15,-54.4387,7.68083
16,C16,-212.786,5.00988
17,C17,80.9626,101.634
18,C18,157.454,73.4706
19,C19,-42.5174,-69.7975
20,C20,37.1151,-18.6631
21,C21,167.09,17.0319
22,C22,194.707,-56.661
23,C23,88.7948,-124.575
24,C24,-59.5047,158.741
25,C25,125.268,163.639
26,C26,-94.2736,184.901
27,C27,3.17907,174.325
28,C28,29.3051,-184.789
29,C29,-52.5511,-122.005
30,C30,75.3,149.279
31,C31,112.453,-85.3813
32,C32,68.8432,228.76
33,C33,-66.9548,-171.543
34,C34,202.654,70.6873
35,C35,-86.9226,-75.1408
36,C36,-143.447,-120.224
37,C37,73.5115,10.6867
38,C38,-136.295,-11.8
39,C39,74.6046,-188.574
40,C40,-220.039,77.1436
41,C41,-102.32,15.0281
42,C42,213.383,29.3881
43,C43,-210.601,-66.5686
44,C44,67.5513,53.6556
45,C45,-69.4384,-213.844
46,C46,-179.607,108.87
47,C47,164.904,-131.468
48,C48,-182.686,-28.3861
49,C49,13.4106,221.302
50,C50,200.865,-108.425
51,C51,51.3593,189.465
52,C52,-22.8484,-158.741
53,C53,-119.903,94.0649
54,C54,126.262,27.2729
55,C55,226.793,-17.3656
56,C56,-170.567,-87.9424
57,C57,44.7027,-134.362
58,C58,-103.115,-140.485
59,C59,-26.0068,-26.2956
60,C60,150.799,-42.4122
61,C61,-145.434,-170.095
62,C62,-109.572,-193.25
63,C63,-86.7236,-30.2787
64,C64,-136.493,167.98
65,C65,-69.4392,224.864
66,C66,-9.33742,-220.078
67,C67,-169.772,16.03
68,C68,118.215,209.057
69,C69,127.354,114.102
70,C70,-23.5431,136.255
71,C71,161.329,-88.1645
72,C72,194.11,114.436
73,C73,44.1073,-224.754
74,C74,-198.78,-119.668
75,C75,112.751,-23.6
76,C76,220.933,-184.901
77,C77,226.893,-227.314
78,C78,-214.376,269.726
79,C79,100.467,-242.11
80,C80,-320.074,111.097
81,C81,90.5986,-333.512
82,C82,-150.599,-247.24
83,C83,321.763,159.632
84,C84,-187.156,-219.41
85,C85,228.283,200.597
86,C86,-96.6576,-275.181
87,C87,-261.86,-94.6211
88,C88,57.1874,-283.984
89,C89,-167.289,237.221
90,C90,-330.902,63.4517
91,C91,-187.952,-272.843
92,C92,-305.869,20.8163
93,C93,-136.096,324.272
94,C94,318.683,-143.935
95,C95,-266.331,63.006
96,C96,-292.259,183.788
97,C97,107.685,254.252
98,C98,301.795,58.4425
99,C99,99.2101,-291.895
100,C100,126.063,-202.935
101,C101,-72.8158,318.484
102,C102,-116.824,249.244
103,C103,277.755,-117.553
104,C104,191.825,275.848
105,C105,-48.7755,265.496
106,C106,-264.145,223.306
107,C107,276.563,109.761
108,C108,-247.654,-42.3016
109,C109,152.487,294.995
110,C110,61.6902,300.339
111,C111,-205.932,-163.083
112,C112,12.0203,-283.195
113,C113,-122.784,-313.919
114,C114,-250.039,166.756
115,C115,-315.504,-134.362
116,C116,-185.468,152.618
117,C117,178.415,-188.352
118,C118,-23.3444,344.533
119,C119,255.901,167.535
120,C120,243.085,-79.9274
121,C121,-264.245,125.234
122,C122,14.7023,302.12
123,C123,202.356,164.752
124,C124,320.968,-12.356
125,C125,-228.979,-232.323
126,C126,281.331,-184.233
127,C127,-275.966,-227.536
128,C128,-244.675,-192.582
129,C129,-309.544,-87.8302
130,C130,-45.796,-313.92
131,C131,255.006,69.5745
132,C132,193.117,-254.364
133,C133,269.609,224.753
134,C134,105.301,315.256
135,C135,-318.385,-44.9733
136,C136,348.684,-78.1459
137,C137,-206.031,217.74
138,C138,29.8015,358.002
139,C139,-150.5,276.071
140,C140,-246.364,-149.39
141,C141,269.311,-230.764
142,C142,-25.431,-263.38
143,C143,221.819,-297.564
144,C144,337.756,36.4014
145,C145,250.535,-150.615
146,C146,197.488,233.992
147,C147,285.603,11.2429
148,C148,-4.56963,262.045
149,C149,233.151,259.151
150,C150,234.94,124.678
151,C151,-353.551,26.939
152,C152,-365.174,-99.1848
153,C153,475.64,-72.2465
154,C154,-437.692,-136.811
155,C155,69.538,454.293
156,C156,99.2413,-421.677
157,C157,-192.024,-397.408
158,C158,-46.6899,-406.982
159,C159,444.149,-164.307
160,C160,-391.499,-214.623
161,C161,-47.8821,477.781
162,C162,-292.755,255.589
163,C163,366.354,-251.417
164,C164,238.615,-379.932
165,C165,472.859,17.0322
166,C166,101.426,421.231
167,C167,168.381,-333.957
168,C168,-382.062,126.57
169,C169,377.989,-152.507
170,C170,-395.871,170.764
171,C171,198.581,-363.902
172,C172,155.865,-386.833
173,C173,12.4179,-482.234
174,C174,319.838,-252.067
175,C175,-197.588,411.324
176,C176,-353.949,230.43
177,C177,-115.334,-416.222
178,C178,-368.85,-19.7037
179,C179,2.88075,428.245
180,C180,369.644,150.615
181,C181,375.704,73.8049
182,C182,-348.286,162.86
183,C183,264.344,402.753
184,C184,-241.595,-407.65
185,C185,-291.464,-269.725
186,C186,-374.512,70.7989
187,C187,391.499,-100.744
188,C188,430.142,2.44937
189,C189,408.189,168.537
190,C190,460.143,73.9156
191,C191,48.3783,-383.16
192,C192,-337.359,-313.029
193,C193,-83.6445,453.403
194,C194,-245.171,-336.072
195,C195,237.721,369.245
196,C196,296.828,303.678
197,C197,10.4312,-363.123
198,C198,432.03,-65.9011
199,C199,-384.546,272.843
200,C200,285.503,-71.1328
201,C201,-118.215,-470.657
202,C202,-83.8427,-367.798
203,C203,-466.7,3.78473
204,C204,95.8635,-466.093
205,C205,-405.208,17.3661
206,C206,105.301,-377.483
207,C207,171.66,481.677
208,C208,124.572,498.041
209,C209,177.719,420.897
210,C210,137.884,397.743
211,C211,138.778,451.843
212,C212,261.265,446.278
213,C213,-495.111,-88.833
214,C214,-414.646,-91.0595
215,C215,-481.6,-36.624
216,C216,-501.27,-143.936
217,C217,-532.661,-112.21
218,C218,-446.732,-62.6725
219,C219,363.685,-393.847
220,C220,321.465,-370.135
221,C221,342.06,-302.693
222,C222,286,-394.626
223,C223,358.32,-345.868
224,C224,275.768,-351.879
225,E1-1,-190.931,578.191
226,E1-2,-235.337,603.572
227,E1-3,-194.011,630.844
228,E1-4,-262.755,635.631
229,E1-5,-164.904,664.129
230,E1-6,-230.966,698.75
231,E2-1,-779.621,465.87
232,E2-2,-829.589,504.721
233,E2-3,-700.944,520.417
234,E2-4,-767.799,521.752
235,E2-5,-817.57,556.929
236,E2-6,-736.11,562.272
237,E3-1,-1297.48,-132.914
238,E3-2,-1252.98,-126.681
239,E3-3,-1346.36,-93.7308
240,E3-4,-1261.72,-78.4797
241,E3-5,-1304.83,-73.0247
242,E3-6,-1292.71,-32.5049
243,E4-1,-1407.95,-1220.5
244,E4-2,-1362.25,-1210.15
245,E4-3,-1357.28,-1162.73
246,E4-4,-1311.79,-1153.82
247,E4-5,-1422.95,-1142.36
248,E4-6,-1386.39,-1095.71
