########################################################################
#                                                                      #
# WGS84 positions of SKA1 MID dish coordinates taken from              #
# SKA1-MID Physical Configuration Coordinates                          #
# (SKA-TEL-INSA-0000537 Revision 11)                                   #
#                                                                      #
# Columns: Dish name, Longitude, Latitude, HAE, ECEF-X, ECEF-Y, ECEF-Z #
# Units: None, degrees, degrees, meters, meters, meters, meters        #
#                                                                      #
########################################################################
M000,21.44380263,-30.71292499,1095.967,5109272.111,2006809.134,-3239131.128
M001,21.44390058,-30.71260458,1095.239,5109284.987,2006824.274,-3239100.211
M002,21.4435537,-30.71307782,1095.114,5109272.092,2006783.504,-3239145.261
M003,21.44319459,-30.71287977,1094.538,5109294.648,2006755.4,-3239126.087
M004,21.44259852,-30.71333673,1094.708,5109291.573,2006692.839,-3239169.736
M005,21.44282331,-30.71360886,1094.803,5109269.431,2006707.28,-3239195.727
M006,21.44369859,-30.71371986,1095.046,5109233.119,2006783.11,-3239206.433
M007,21.44295373,-30.71468757,1095.823,5109208.816,2006696.897,-3239299.081
M008,21.44291264,-30.71588066,1096.477,5109147.884,2006668.736,-3239413.15
M009,21.44422662,-30.7144019,1096.08,5109179.499,2006816.399,-3239271.979
M010,21.44480843,-30.71567185,1097.131,5109093.016,2006842.314,-3239393.579
M011,21.4447658,-30.71423075,1096.214,5109169.743,2006868.065,-3239255.732
M012,21.4453504,-30.71437675,1096.267,5109141.612,2006917.188,-3239269.677
M013,21.44636051,-30.71460393,1097.04,5109094.873,2007002.799,-3239291.729
M014,21.44681848,-30.71363293,1096.192,5109129.336,2007063.477,-3239198.731
M015,21.44608755,-30.71303186,1095.434,5109186.017,2007010.507,-3239141.043
M016,21.44689663,-30.71273181,1095.521,5109173.561,2007088.894,-3239112.484
M017,21.4459725,-30.71206798,1094.641,5109240.22,2007019.956,-3239048.751
M018,21.44499245,-30.71327292,1095.376,5109211.623,2006907.844,-3239163.994
M019,21.44567154,-30.71362782,1095.906,5109169.553,2006961.218,-3239198.098
M020,21.44490153,-30.71375783,1095.645,5109189.462,2006889.781,-3239210.358
M021,21.44079962,-30.71400673,1093.749,5109318.488,2006518.251,-3239233.117
M022,21.43999565,-30.71105059,1091.451,5109500.631,2006507.028,-3238950.132
M023,21.44052474,-30.7123378,1092.699,5109415.25,2006527.958,-3239073.481
M024,21.44022486,-30.70970194,1090.453,5109562.891,2006555.071,-3238821.051
M025,21.44198952,-30.70902082,1090.757,5109537.232,2006726.635,-3238756.272
M026,21.44285553,-30.71090183,1092.484,5109409.139,2006765.468,-3238936.477
M027,21.44431135,-30.71126399,1093.559,5109339.918,2006888.131,-3238971.552
M028,21.4433547,-30.71184169,1093.3,5109342.768,2006790.78,-3239026.493
M029,21.44296242,-30.71217484,1093.319,5109338.962,2006748.908,-3239058.263
M030,21.44567663,-30.7100279,1092.933,5109356.746,2007035.275,-3238853.392
